ID,Block,Selection,Sex,LW,RW,Thorax,Wings
CHmF1,4,CU,Male,1.018,0.976,0.575,0.997
CHmF2,4,CU,Male,0.924,0.882,0.51,0.903
CHmF3,4,CU,Male,0.979,0.953,0.565,0.966
CHmF4,4,CU,Male,1.02,1.038,0.606,1.029
CHmF5,4,CU,Male,0.795,0.866,0.48,0.8305
CHmF6,4,CU,Male,1.013,1,0.605,1.0065
CHmF7,4,CU,Male,0.94,0.915,0.518,0.9275
CHmF8,4,CU,Male,1.008,1.019,0.653,1.0135
CHmF9,4,CU,Male,0.896,0.865,0.518,0.8805
CHmF10,4,CU,Male,0.925,0.905,0.549,0.915
CHmF11,4,CU,Male,1.006,0.954,0.575,0.98
CHmF12,4,CU,Male,0.933,0.946,0.542,0.9395
CHmF13,4,CU,Male,0.976,0.995,0.571,0.9855
CHmF14,4,CU,Male,1.042,0.996,0.597,1.019
CHmF15,4,CU,Male,1.151,1.113,0.694,1.132
MHfF1,4,MB,Female,1.154,1.135,0.717,1.1445
MHfF2,4,MB,Female,1.104,1.07,0.653,1.087
MHfF3,4,MB,Female,1.213,1.204,0.721,1.2085
MHfF4,4,MB,Female,1.143,1.131,0.737,1.137
MHfF5,4,MB,Female,1.201,1.137,0.701,1.169
MHfF6,4,MB,Female,1.153,1.166,0.646,1.1595
MHfF7,4,MB,Female,1.113,1.115,0.718,1.114
MHfF8,4,MB,Female,1.147,1.138,0.698,1.1425
MHfF9,4,MB,Female,1.187,1.143,0.696,1.165
MHfF10,4,MB,Female,1.078,1.109,0.647,1.0935
MHfF11,4,MB,Female,1.272,1.275,0.739,1.2735
MHfF12,4,MB,Female,1.23,1.253,0.763,1.2415
MHfF13,4,MB,Female,1.171,1.168,0.669,1.1695
MHfF14,4,MB,Female,1.199,1.182,0.708,1.1905
MHfF15,4,MB,Female,1.235,1.29,0.787,1.2625
MHmF1,4,MB,Male,1.066,1.045,0.644,1.0555
MHmF2,4,MB,Male,0.918,1.038,0.584,0.978
MHmF3,4,MB,Male,1.122,1.124,0.598,1.123
MHmF4,4,MB,Male,1.045,1.047,0.603,1.046
MHmF5,4,MB,Male,0.959,0.989,0.594,0.974
MHmF6,4,MB,Male,1.062,1.084,0.619,1.073
MHmF7,4,MB,Male,1.098,1.092,0.619,1.095
MHmF8,4,MB,Male,0.986,1.034,0.646,1.01
MHmF9,4,MB,Male,1.026,1.069,0.647,1.0475
MHmF10,4,MB,Male,1.109,1.129,0.624,1.119
MHmF11,4,MB,Male,1.15,1.143,0.664,1.1465
MHmF12,4,MB,Male,1.118,1.103,0.663,1.1105
MHmF13,4,MB,Male,1.027,1.028,0.606,1.0275
MHmF14,4,MB,Male,1.17,1.142,0.642,1.156
MHmF15,4,MB,Male,0.961,0.94,0.528,0.9505
